"Name","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","batch_size","dataset","learning_kind","learning_rate","max_length","model_name","model_type","mt_dataset_type","num_epochs","scale_class_loss","steps","warmup_proportion","weight_decay","Aspectemo_test_accuracy_sentiment","Aspectemo_test_f1-score_sentiment_a_amb","Aspectemo_test_f1-score_sentiment_a_minus_m","Aspectemo_test_f1-score_sentiment_a_minus_s","Aspectemo_test_f1-score_sentiment_a_plus_m","Aspectemo_test_f1-score_sentiment_a_plus_s","Aspectemo_test_f1-score_sentiment_a_zero","Aspectemo_test_loss_epoch","Aspectemo_test_loss_step","Aspectemo_test_macro_f1_mean","Aspectemo_test_macro_f1_sentiment","Aspectemo_test_micro_f1_mean","Aspectemo_test_micro_f1_sentiment","Aspectemo_test_precision_sentiment_a_amb","Aspectemo_test_precision_sentiment_a_minus_m","Aspectemo_test_precision_sentiment_a_minus_s","Aspectemo_test_precision_sentiment_a_plus_m","Aspectemo_test_precision_sentiment_a_plus_s","Aspectemo_test_precision_sentiment_a_zero","Aspectemo_test_recall_sentiment_a_amb","Aspectemo_test_recall_sentiment_a_minus_m","Aspectemo_test_recall_sentiment_a_minus_s","Aspectemo_test_recall_sentiment_a_plus_m","Aspectemo_test_recall_sentiment_a_plus_s","Aspectemo_test_recall_sentiment_a_zero","Aspectemo_train_loss_epoch","Aspectemo_train_loss_step","Aspectemo_valid_accuracy_sentiment","Aspectemo_valid_f1-score_sentiment_a_amb","Aspectemo_valid_f1-score_sentiment_a_minus_m","Aspectemo_valid_f1-score_sentiment_a_minus_s","Aspectemo_valid_f1-score_sentiment_a_plus_m","Aspectemo_valid_f1-score_sentiment_a_plus_s","Aspectemo_valid_f1-score_sentiment_a_zero","Aspectemo_valid_loss_epoch","Aspectemo_valid_loss_step","Aspectemo_valid_macro_f1_mean","Aspectemo_valid_macro_f1_sentiment","Aspectemo_valid_micro_f1_mean","Aspectemo_valid_micro_f1_sentiment","Aspectemo_valid_precision_sentiment_a_amb","Aspectemo_valid_precision_sentiment_a_minus_m","Aspectemo_valid_precision_sentiment_a_minus_s","Aspectemo_valid_precision_sentiment_a_plus_m","Aspectemo_valid_precision_sentiment_a_plus_s","Aspectemo_valid_precision_sentiment_a_zero","Aspectemo_valid_recall_sentiment_a_amb","Aspectemo_valid_recall_sentiment_a_minus_m","Aspectemo_valid_recall_sentiment_a_minus_s","Aspectemo_valid_recall_sentiment_a_plus_m","Aspectemo_valid_recall_sentiment_a_plus_s","Aspectemo_valid_recall_sentiment_a_zero","Multiemo_test_accuracy_sentiment","Multiemo_test_f1_sentiment_0","Multiemo_test_f1_sentiment_1","Multiemo_test_f1_sentiment_2","Multiemo_test_f1_sentiment_3","Multiemo_test_loss_epoch","Multiemo_test_loss_step","Multiemo_test_macro_f1_mean","Multiemo_test_macro_f1_sentiment","Multiemo_test_precision_sentiment_0","Multiemo_test_precision_sentiment_1","Multiemo_test_precision_sentiment_2","Multiemo_test_precision_sentiment_3","Multiemo_test_recall_sentiment_0","Multiemo_test_recall_sentiment_1","Multiemo_test_recall_sentiment_2","Multiemo_test_recall_sentiment_3","Multiemo_train_loss_epoch","Multiemo_train_loss_step","Multiemo_valid_accuracy_sentiment","Multiemo_valid_f1_sentiment_0","Multiemo_valid_f1_sentiment_1","Multiemo_valid_f1_sentiment_2","Multiemo_valid_f1_sentiment_3","Multiemo_valid_loss_epoch","Multiemo_valid_loss_step","Multiemo_valid_macro_f1_mean","Multiemo_valid_macro_f1_sentiment","Multiemo_valid_precision_sentiment_0","Multiemo_valid_precision_sentiment_1","Multiemo_valid_precision_sentiment_2","Multiemo_valid_precision_sentiment_3","Multiemo_valid_recall_sentiment_0","Multiemo_valid_recall_sentiment_1","Multiemo_valid_recall_sentiment_2","Multiemo_valid_recall_sentiment_3","epoch","test_loss","train_loss_epoch","train_loss_step","trainer/global_step","valid_loss"
"sweet-breeze-90","finished","-","wojtek11530","","2022-05-24T02:50:41.000Z","552","","","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","annealing_sampling","15","log","250","0.1","0.01","0.8784850239753723","0","0","0","0","0","0","0.8819077610969543","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.45217752456665","0","0.8974359035491943","0","0.3039039039039039","0","0.4336118848653668","0","0.012232415902140671","0.6478946805000305","0","0.12495803411190189","0.12495803411190189","0.2824902723735408","0.2824902723735408","0","0.5039840637450199","0","0.5612980769230769","0","0.4","0","0.2175408426483233","0","0.35325264750378216","0","0.006211180124223602","0.8804877996444702","0.6690391898155212","0.8995363116264343","0.9266247153282166","0.9872340559959412","2.87058687210083","0.21661365032196045","0.8706085681915283","0.8706085681915283","0.6482758522033691","0.9448052048683168","0.8840000033378601","0.9914529919624328","0.6911764740943909","0.8584070801734924","0.9735682606697084","0.98305082321167","4.006000518798828","0.002652376191690564","0.8663426637649536","0.6827794313430786","0.8873482942581177","0.9060542583465576","0.9806949496269226","4.747839450836182","0.22540242969989777","0.8642192482948303","0.8642192482948303","0.6420454382896423","0.9377289414405824","0.8930041193962097","0.969465672969818","0.7290322780609131","0.8421052694320679","0.9194915294647216","0.9921875","3","0.10613205283880234","0.0377713143825531","0.002652376191690564","750","0.15420983731746674"
"charmed-yogurt-89","finished","-","wojtek11530","","2022-05-24T02:41:18.000Z","554","","0.75","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","proportional_sampling","15","log","250","0.1","0.01","0.8786351084709167","0","0.005089058524173028","0","0.0027266530334015","0","0","0.8461871147155762","0","0.001302618592929088","0.001302618592929088","0.0024679170779861796","0.0024679170779861796","0","0.375","0","0.6666666666666666","0","0","0","0.0025619128949615714","0","0.001366120218579235","0","0","3.931254386901855","0","0.8974359035491943","0","0.27334570191713053","0","0.44107903454803593","0","0.01214574898785425","0.6479159593582153","0","0.1210950809088368","0.1210950809088368","0.2740213523131673","0.2740213523131673","0","0.486784140969163","0","0.5891276864728192","0","0.2727272727272727","0","0.19002579535683575","0","0.3524962178517398","0","0.006211180124223602","0.8939024209976196","0.6666666865348816","0.9269005656242372","0.9135802984237672","0.98305082321167","2.602819442749023","0.2380151003599167","0.8725495934486389","0.8725495934486389","0.795918345451355","0.9188405871391296","0.8571428656578064","0.98305082321167","0.5735294222831726","0.9351032376289368","0.9779735803604126","0.98305082321167","4.1665754318237305","0.04884713888168335","0.8724179863929749","0.6710963249206543","0.895765483379364","0.9129511713981628","0.9769230484962464","4.462933540344238","0.18365243077278137","0.8641840219497681","0.8641840219497681","0.6917808055877686","0.8870967626571655","0.914893627166748","0.9621211886405944","0.6516128778457642","0.904605269432068","0.9110169410705566","0.9921875","3","0.09709370136260986","0.03239420801401138","0.04884713888168335","750","0.14628103375434875"
"northern-cloud-88","finished","-","wojtek11530","","2022-05-24T02:27:02.000Z","847","","","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","sampling","15","log","250","0.1","0.01","0.905795156955719","0","0.4956798544793088","0","0.567154255319149","0","0.17081260364842454","0.5674085021018982","0","0.20560778557448037","0.20560778557448037","0.440951821386604","0.440951821386604","0","0.5301556420233463","0","0.552461139896373","0","0.5282051282051282","0","0.4654141759180188","0","0.5826502732240437","0","0.10187932739861524","6.596229076385498","0","0.9167667031288148","0","0.5419411506368028","0","0.6348854397634885","0","0.32057761732851986","0.4801751673221588","0","0.24956736795480192","0.24956736795480192","0.5062611806797853","0.5062611806797853","0","0.5538599640933572","0","0.6206647398843931","0","0.5298329355608592","0","0.530524505588994","0","0.6497730711043873","0","0.22981366459627328","0.8951219320297241","0.6801619529724121","0.919236421585083","0.9263157844543456","0.9873418211936952","2.792447090148926","0.2615422010421753","0.8782640099525452","0.8782640099525452","0.7567567825317383","0.9152047038078308","0.8870967626571655","0.9831932783126832","0.6176470518112183","0.9233038425445556","0.9691630005836488","0.991525411605835","3.590542793273926","0.010287728160619736","0.8736330270767212","0.7012195587158203","0.8953688144683838","0.9075630307197572","0.9806949496269226","3.9193408489227295","0.16964960098266602","0.871211588382721","0.871211588382721","0.6647399067878723","0.9354838728904724","0.8999999761581421","0.969465672969818","0.7419354915618896","0.8585526347160339","0.9152542352676392","0.9921875","5","0.09445835649967194","0.04072994366288185","0.010287728160619736","1250","0.12586259841918945"
"lucky-bee-87","finished","-","wojtek11530","","2022-05-24T02:19:24.000Z","449","","","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","round_robin","15","log","","0.1","0.01","0.8784850239753723","0","0","0","0","0","0","0.9706131219863892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.618436813354492","0","0.8874319195747375","0","0.06869009584664536","0","0.15614392396469792","0","0.002068252326783868","0.751836895942688","0","0.03781704535635452","0.03781704535635452","0.07886904761904762","0.07886904761904762","0","0.4831460674157303","0","0.7615894039735099","0","1","0","0.03697334479793637","0","0.08698940998487141","0","0.0010351966873706005","0.8841463327407837","0.6188340783119202","0.9182209372520448","0.9113402366638184","0.9787233471870422","2.775865077972412","0.25635039806365967","0.8567796349525452","0.8567796349525452","0.7931034564971924","0.8938547372817993","0.856589138507843","0.9829059839248656","0.5073529481887817","0.9439527988433838","0.9735682606697084","0.9745762944221495","5.962759494781494","0.026831233873963356","0.8712029457092285","0.6835443377494812","0.9042904376983644","0.8984881043434143","0.9731801152229308","3.9383881092071538","0.14047543704509735","0.8648757934570312","0.8648757934570312","0.6708074808120728","0.9072847962379456","0.91629958152771","0.9548872113227844","0.6967741847038269","0.9013158082962036","0.8813559412956238","0.9921875","2","0.10545319318771362","0.03862736001610756","0.026831233873963356","494","0.13432593643665314"
"splendid-capybara-86","finished","-","wojtek11530","","2022-05-24T02:13:06.000Z","369","","","32","Multiemo","STL","0.00001","256","herbert","multitask_transformer","","15","log","","0.1","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8963414430618286","0.6721991300582886","0.9241982698440552","0.9266247153282166","0.98305082321167","5.251052379608154","0.6261563897132874","0.8765182495117188","0.8765182495117188","0.7714285850524902","0.9135446548461914","0.8840000033378601","0.98305082321167","0.595588207244873","0.9351032376289368","0.9735682606697084","0.98305082321167","9.65346908569336","0.022645965218544006","0.8797084093093872","0.7058823108673096","0.9105960130691528","0.8999999761581421","0.9884170293807985","7.953530311584473","0.10618577152490616","0.8762238025665283","0.8762238025665283","0.6785714030265808","0.9166666865348816","0.9241071343421936","0.9770992398262024","0.7354838848114014","0.904605269432068","0.8771186470985413","1","3","0.19575585424900055","0.04684087634086609","0.022645965218544006","618","0.3080890476703644"
"youthful-silence-85","finished","-","wojtek11530","","2022-05-24T02:07:02.000Z","355","","","32","Aspectemo","STL","0.00001","256","herbert","multitask_transformer","","15","log","","0.1","0.01","0.9134479761123656","0","0.5269311064718163","0","0.621132516053707","0","0.38964401294498385","1.0171551704406738","0.10261383652687071","0.2562846059117512","0.2562846059117512","0.5143667053214791","0.5143667053214791","0","0.5155228758169934","0","0.5423037716615698","0","0.5636704119850188","0","0.5388556789069172","0","0.726775956284153","0","0.29772502472799206","4.226491928100586","0.10316906124353407","0.9167359471321106","0","0.5421393841166937","0","0.6236065573770492","0","0.3913920645595158","0.9469282627105712","0.11497952044010162","0.25952300100887643","0.25952300100887643","0.5203539823008848","0.5203539823008848","0","0.5126436781609195","0","0.5503472222222222","0","0.5585412667946257","0","0.5752364574376613","0","0.7193645990922845","0","0.30124223602484473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0.11331447958946228","0.10305550694465636","0.10316906124353407","615","0.10489924252033234"
"expert-armadillo-84","finished","-","wojtek11530","","2022-05-24T01:56:25.000Z","628","","","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","annealing_sampling","15","log","250","0.1","0.01","0.8787251114845276","0","0.0017050298380221654","0","0.009517335146159074","0","0","0.8249102234840393","0","0.0018703941640302068","0.0018703941640302068","0.003950617283950617","0.003950617283950617","0","0.5","0","1","0","0","0","0.0008539709649871904","0","0.0047814207650273225","0","0","4.497027397155762","0","0.8966047763824463","0","0.29394121175764854","0","0.41786743515850144","0","0.027944111776447105","0.6494430303573608","0","0.12329212644876618","0.12329212644876618","0.2726379886073463","0.2726379886073463","0","0.4861111111111111","0","0.5723684210526315","0","0.3888888888888889","0","0.21066208082545143","0","0.3290468986384266","0","0.014492753623188406","0.8939024209976196","0.696969747543335","0.919708013534546","0.925110161304474","0.9789029955863952","2.8173277378082275","0.27563437819480896","0.8801727294921875","0.8801727294921875","0.71875","0.910404622554779","0.925110161304474","0.9747899174690248","0.6764705777168274","0.9292035102844238","0.925110161304474","0.98305082321167","3.1040940284729004","0.005349480547010899","0.883353590965271","0.7235293984413147","0.9050847291946412","0.9146608710289","0.9884170293807985","4.256386756896973","0.07556265592575073","0.8829230070114136","0.8829230070114136","0.6648648381233215","0.9335664510726928","0.9457013607025146","0.9770992398262024","0.7935484051704407","0.8782894611358643","0.8855932354927063","1","4","0.10232815891504288","0.030342938378453255","0.005349480547010899","1000","0.14120395481586456"
"swept-butterfly-83","finished","-","wojtek11530","","2022-05-24T01:46:55.000Z","561","","0.75","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","proportional_sampling","15","log","250","0.1","0.01","0.879265308380127","0","0.0017035775127768312","0","0.034782608695652174","0","0","0.8253880143165588","0","0.006081031034738168","0.006081031034738168","0.013251533742331288","0.013251533742331288","0","0.3333333333333333","0","0.8387096774193549","0","0","0","0.0008539709649871904","0","0.017759562841530054","0","0","3.8854610919952393","0.06869818270206451","0.8966047763824463","0","0.2826498422712934","0","0.4069598840019333","0","0.014227642276422764","0.6604666709899902","0","0.11730622809160823","0.11730622809160823","0.26195259140216953","0.26195259140216953","0","0.5308056872037915","0","0.5635876840696118","0","0.3888888888888889","0","0.19260533104041272","0","0.3184568835098336","0","0.007246376811594203","0.8939024209976196","0.6748971343040466","0.9221733212471008","0.922755777835846","0.9789029955863952","2.7743334770202637","0.2728162407875061","0.8746823072433472","0.8746823072433472","0.7663551568984985","0.9181286692619324","0.8769841194152832","0.9747899174690248","0.6029411554336548","0.9262536764144896","0.9735682606697084","0.98305082321167","4.894287109375","0","0.8845686316490173","0.728358268737793","0.9025641083717346","0.9188033938407898","0.9844961762428284","3.986116409301758","0.10652872174978256","0.8835554718971252","0.8835554718971252","0.6777777671813965","0.9395017623901368","0.926724135875702","0.9769230484962464","0.7870967984199524","0.8684210777282715","0.9110169410705566","0.9921875","3","0.10112364590168","0.035140566527843475","0.06869818270206451","750","0.1334153264760971"
"prime-cosmos-82","finished","-","wojtek11530","","2022-05-24T01:31:13.000Z","934","","","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","sampling","15","log","250","0.1","0.01","0.9060352444648744","0","0.4937121564974383","0","0.5581699346405229","0","0.2073365231259968","0.5576671957969666","0","0.209869769043993","0.209869769043993","0.441656942823804","0.441656942823804","0","0.5430327868852459","0","0.5350877192982456","0","0.5349794238683128","0","0.45260461144321096","0","0.5833333333333334","0","0.12858555885262116","7.091860294342041","0","0.9152276515960692","0","0.5398155909471919","0","0.6212232866617539","0","0.30541141586360265","0.4872244894504547","0","0.24440838224542472","0.24440838224542472","0.4987479746648991","0.4987479746648991","0","0.526573998364677","0","0.6056034482758621","0","0.5378590078328982","0","0.5537403267411866","0","0.6376701966717095","0","0.21325051759834368","0.8878048658370972","0.6614173650741577","0.9158050417900084","0.9217758774757384","0.98305082321167","2.648256540298462","0.2519412636756897","0.8705122470855713","0.8705122470855713","0.7118644118309021","0.9171597361564636","0.8861788511276245","0.98305082321167","0.6176470518112183","0.9144542813301086","0.9603524208068848","0.98305082321167","2.722897529602051","0.015955131500959396","0.8772782683372498","0.7033639550209045","0.9105960130691528","0.8971554040908813","0.9844961762428284","3.901999473571778","0.11886000633239746","0.8739029169082642","0.8739029169082642","0.6686046719551086","0.9166666865348816","0.9276018142700196","0.9769230484962464","0.7419354915618896","0.904605269432068","0.8686440587043762","0.9921875","6","0.09009751677513124","0.03924980014562607","0.015955131500959396","1500","0.12596948444843292"
"honest-firefly-81","finished","-","wojtek11530","","2022-05-24T01:22:24.000Z","521","","","32","Aspectemo_Multiemo","MTL","0.00001","256","herbert","multitask_transformer","round_robin","15","log","","0.1","0.01","0.8784850239753723","0","0","0","0","0","0","0.9173923134803772","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5590763092041016","0","0.8876781463623047","0","0.07538091419406576","0","0.16430976430976432","0","0","0.7451526522636414","0","0.039948446417305015","0.039948446417305015","0.08368408021787571","0.08368408021787571","0","0.5595238095238095","0","0.7484662576687117","0","0","0","0.040412725709372314","0","0.09228441754916791","0","0","0.8829268217086792","0.6838235259056091","0.9041096568107604","0.9198312759399414","0.9789029955863952","2.752413749694824","0.2314671277999878","0.8716669082641602","0.8716669082641602","0.6838235259056091","0.9339622855186462","0.8825910687446594","0.9747899174690248","0.6838235259056091","0.8761062026023865","0.9603524208068848","0.98305082321167","4.229513645172119","0.018934855237603188","0.8821384906768799","0.6942675709724426","0.9139966368675232","0.9083333611488342","0.9884170293807985","3.98048734664917","0.11231286078691484","0.8762536644935608","0.8762536644935608","0.6855345964431763","0.9377162456512452","0.8934426307678223","0.9770992398262024","0.7032257914543152","0.8914473652839661","0.9237288236618042","1","3","0.10353846102952956","0.0315362922847271","0.018934855237603188","741","0.13558463752269745"
